"","region","Var1","Var2","value"
"202","caudate","pipeline 2","pipeline 2",1
"203","caudate","pipeline 3","pipeline 2",0.998043701454818
"204","caudate","pipeline 4","pipeline 2",0.998547167178391
"205","caudate","pipeline 5","pipeline 2",0.976141393702554
"206","caudate","pipeline 6","pipeline 2",0.89888062209625
"207","caudate","pipeline 7","pipeline 2",0.889484516925338
"208","caudate","pipeline 8","pipeline 2",0.973710682925636
"209","caudate","pipeline 1","pipeline 3",0.998449293710769
"210","caudate","pipeline 2","pipeline 3",0.998043701454818
"211","caudate","pipeline 3","pipeline 3",1
"212","caudate","pipeline 4","pipeline 3",0.999019396640892
"213","caudate","pipeline 5","pipeline 3",0.976815426153335
"214","caudate","pipeline 6","pipeline 3",0.902605827745346
"215","caudate","pipeline 7","pipeline 3",0.891937039346497
"216","caudate","pipeline 8","pipeline 3",0.974523024210964
"217","caudate","pipeline 1","pipeline 4",0.99803099101169
"218","caudate","pipeline 2","pipeline 4",0.998547167178392
"219","caudate","pipeline 3","pipeline 4",0.999019396640892
"220","caudate","pipeline 4","pipeline 4",1
"221","caudate","pipeline 5","pipeline 4",0.975255069298302
"222","caudate","pipeline 6","pipeline 4",0.903499845543581
"223","caudate","pipeline 7","pipeline 4",0.894124644453314
"224","caudate","pipeline 8","pipeline 4",0.97294499802604
"225","caudate","pipeline 1","pipeline 5",0.978583617044963
"226","caudate","pipeline 2","pipeline 5",0.976141393702554
"227","caudate","pipeline 3","pipeline 5",0.976815426153335
"228","caudate","pipeline 4","pipeline 5",0.975255069298302
"229","caudate","pipeline 5","pipeline 5",1
"230","caudate","pipeline 6","pipeline 5",0.90071362858856
"231","caudate","pipeline 7","pipeline 5",0.851691043863231
"232","caudate","pipeline 8","pipeline 5",0.999699360744258
"233","caudate","pipeline 1","pipeline 6",0.901611841087781
"234","caudate","pipeline 2","pipeline 6",0.89888062209625
"235","caudate","pipeline 3","pipeline 6",0.902605827745346
"236","caudate","pipeline 4","pipeline 6",0.903499845543581
"237","caudate","pipeline 5","pipeline 6",0.90071362858856
"238","caudate","pipeline 6","pipeline 6",1
"239","caudate","pipeline 7","pipeline 6",0.9791340077916
"240","caudate","pipeline 8","pipeline 6",0.900337054559816
"241","caudate","pipeline 1","pipeline 7",0.89054103370666
"242","caudate","pipeline 2","pipeline 7",0.889484516925338
"243","caudate","pipeline 3","pipeline 7",0.891937039346497
"244","caudate","pipeline 4","pipeline 7",0.894124644453314
"245","caudate","pipeline 5","pipeline 7",0.851691043863231
"246","caudate","pipeline 6","pipeline 7",0.9791340077916
"247","caudate","pipeline 7","pipeline 7",1
"248","caudate","pipeline 8","pipeline 7",0.849538171310241
"249","caudate","pipeline 1","pipeline 8",0.976355886985142
"250","caudate","pipeline 2","pipeline 8",0.973710682925636
"251","caudate","pipeline 3","pipeline 8",0.974523024210964
"252","caudate","pipeline 4","pipeline 8",0.97294499802604
"253","caudate","pipeline 5","pipeline 8",0.999699360744257
"254","caudate","pipeline 6","pipeline 8",0.900337054559816
"255","caudate","pipeline 7","pipeline 8",0.849538171310241
"256","caudate","pipeline 8","pipeline 8",1
"257","ACC","pipeline 1","pipeline 1",1
"258","ACC","pipeline 2","pipeline 1",0.998517615701802
"259","ACC","pipeline 3","pipeline 1",0.998105607592776
"260","ACC","pipeline 4","pipeline 1",0.997302220784641
"261","ACC","pipeline 5","pipeline 1",0.965726957527313
"262","ACC","pipeline 6","pipeline 1",0.934979988213065
"263","ACC","pipeline 7","pipeline 1",0.946706712444466
"264","ACC","pipeline 8","pipeline 1",0.92117966258839
"265","ACC","pipeline 1","pipeline 2",0.998517615701802
"266","ACC","pipeline 2","pipeline 2",1
"267","ACC","pipeline 3","pipeline 2",0.997011269259087
"268","ACC","pipeline 4","pipeline 2",0.998529008393111
"269","ACC","pipeline 5","pipeline 2",0.966983367396683
"270","ACC","pipeline 6","pipeline 2",0.932239676447242
"271","ACC","pipeline 7","pipeline 2",0.942184483845065
"272","ACC","pipeline 8","pipeline 2",0.92156945658216
"273","ACC","pipeline 1","pipeline 3",0.998105607592776
"274","ACC","pipeline 2","pipeline 3",0.997011269259087
"275","ACC","pipeline 3","pipeline 3",1
"276","ACC","pipeline 4","pipeline 3",0.99837926940354
"277","ACC","pipeline 5","pipeline 3",0.964065683496891
"278","ACC","pipeline 6","pipeline 3",0.93475168925243
"279","ACC","pipeline 7","pipeline 3",0.94644830641525
"280","ACC","pipeline 8","pipeline 3",0.919279433315953
"281","ACC","pipeline 1","pipeline 4",0.99730222078464
"282","ACC","pipeline 2","pipeline 4",0.998529008393112
"283","ACC","pipeline 3","pipeline 4",0.998379269403539
"284","ACC","pipeline 4","pipeline 4",1
"285","ACC","pipeline 5","pipeline 4",0.966099566431461
"286","ACC","pipeline 6","pipeline 4",0.932793488858143
"287","ACC","pipeline 7","pipeline 4",0.942595801417234
"288","ACC","pipeline 8","pipeline 4",0.920809480784308
"289","ACC","pipeline 1","pipeline 5",0.965726957527313
"290","ACC","pipeline 2","pipeline 5",0.966983367396683
"291","ACC","pipeline 3","pipeline 5",0.964065683496891
"292","ACC","pipeline 4","pipeline 5",0.966099566431461
"293","ACC","pipeline 5","pipeline 5",1
"294","ACC","pipeline 6","pipeline 5",0.932331567231258
"295","ACC","pipeline 7","pipeline 5",0.890692122335378
"296","ACC","pipeline 8","pipeline 5",0.971351698314205
"297","ACC","pipeline 1","pipeline 6",0.934979988213065
"298","ACC","pipeline 2","pipeline 6",0.932239676447243
"299","ACC","pipeline 3","pipeline 6",0.93475168925243
"300","ACC","pipeline 4","pipeline 6",0.932793488858143
"301","ACC","pipeline 5","pipeline 6",0.932331567231258
"302","ACC","pipeline 6","pipeline 6",1
"303","ACC","pipeline 7","pipeline 6",0.974190734559302
"304","ACC","pipeline 8","pipeline 6",0.904436530799518
"305","ACC","pipeline 1","pipeline 7",0.946706712444466
"306","ACC","pipeline 2","pipeline 7",0.942184483845065
"307","ACC","pipeline 3","pipeline 7",0.94644830641525
"308","ACC","pipeline 4","pipeline 7",0.942595801417234
"309","ACC","pipeline 5","pipeline 7",0.890692122335377
"310","ACC","pipeline 6","pipeline 7",0.974190734559302
"311","ACC","pipeline 7","pipeline 7",1
"312","ACC","pipeline 8","pipeline 7",0.851015088528207
"313","ACC","pipeline 1","pipeline 8",0.92117966258839
"314","ACC","pipeline 2","pipeline 8",0.92156945658216
"315","ACC","pipeline 3","pipeline 8",0.919279433315953
"316","ACC","pipeline 4","pipeline 8",0.920809480784308
"317","ACC","pipeline 5","pipeline 8",0.971351698314206
"318","ACC","pipeline 6","pipeline 8",0.904436530799518
"319","ACC","pipeline 7","pipeline 8",0.851015088528207
"320","ACC","pipeline 8","pipeline 8",1
"321","hippocampus","pipeline 1","pipeline 1",1
"322","hippocampus","pipeline 2","pipeline 1",0.998329940496336
"323","hippocampus","pipeline 3","pipeline 1",0.996855917900789
"324","hippocampus","pipeline 4","pipeline 1",0.994250684683453
"325","hippocampus","pipeline 5","pipeline 1",0.875087788286705
"326","hippocampus","pipeline 6","pipeline 1",0.844634238083535
"327","hippocampus","pipeline 7","pipeline 1",0.941770888114817
"328","hippocampus","pipeline 8","pipeline 1",0.865678180671906
"329","hippocampus","pipeline 1","pipeline 2",0.998329940496336
"330","hippocampus","pipeline 2","pipeline 2",1
"331","hippocampus","pipeline 3","pipeline 2",0.996975690824443
"332","hippocampus","pipeline 4","pipeline 2",0.99703826804781
"333","hippocampus","pipeline 5","pipeline 2",0.873449224688483
"334","hippocampus","pipeline 6","pipeline 2",0.84151652612037
"335","hippocampus","pipeline 7","pipeline 2",0.936655844580565
"336","hippocampus","pipeline 8","pipeline 2",0.863437589341478
"337","hippocampus","pipeline 1","pipeline 3",0.996855917900789
"338","hippocampus","pipeline 2","pipeline 3",0.996975690824443
"339","hippocampus","pipeline 3","pipeline 3",1
"340","hippocampus","pipeline 4","pipeline 3",0.997889303915352
"341","hippocampus","pipeline 5","pipeline 3",0.871254693698176
"342","hippocampus","pipeline 6","pipeline 3",0.842516234239244
"343","hippocampus","pipeline 7","pipeline 3",0.938176943192809
"344","hippocampus","pipeline 8","pipeline 3",0.862049251672217
"345","hippocampus","pipeline 1","pipeline 4",0.994250684683453
"346","hippocampus","pipeline 2","pipeline 4",0.99703826804781
"347","hippocampus","pipeline 3","pipeline 4",0.997889303915352
"348","hippocampus","pipeline 4","pipeline 4",1
"349","hippocampus","pipeline 5","pipeline 4",0.868466621855439
"350","hippocampus","pipeline 6","pipeline 4",0.836323856573209
"351","hippocampus","pipeline 7","pipeline 4",0.931423370464779
"352","hippocampus","pipeline 8","pipeline 4",0.858777780926822
"353","hippocampus","pipeline 1","pipeline 5",0.875087788286705
"354","hippocampus","pipeline 2","pipeline 5",0.873449224688483
"355","hippocampus","pipeline 3","pipeline 5",0.871254693698176
"356","hippocampus","pipeline 4","pipeline 5",0.868466621855439
"357","hippocampus","pipeline 5","pipeline 5",1
"358","hippocampus","pipeline 6","pipeline 5",0.967966838305215
"359","hippocampus","pipeline 7","pipeline 5",0.826902065518064
"360","hippocampus","pipeline 8","pipeline 5",0.998967411490608
"361","hippocampus","pipeline 1","pipeline 6",0.844634238083535
"362","hippocampus","pipeline 2","pipeline 6",0.84151652612037
"363","hippocampus","pipeline 3","pipeline 6",0.842516234239244
"364","hippocampus","pipeline 4","pipeline 6",0.836323856573209
"365","hippocampus","pipeline 5","pipeline 6",0.967966838305215
"366","hippocampus","pipeline 6","pipeline 6",1
"367","hippocampus","pipeline 7","pipeline 6",0.848386543137708
"368","hippocampus","pipeline 8","pipeline 6",0.970699710515105
"369","hippocampus","pipeline 1","pipeline 7",0.941770888114817
"370","hippocampus","pipeline 2","pipeline 7",0.936655844580565
"371","hippocampus","pipeline 3","pipeline 7",0.938176943192809
"372","hippocampus","pipeline 4","pipeline 7",0.931423370464779
"373","hippocampus","pipeline 5","pipeline 7",0.826902065518064
"374","hippocampus","pipeline 6","pipeline 7",0.848386543137708
"375","hippocampus","pipeline 7","pipeline 7",1
"376","hippocampus","pipeline 8","pipeline 7",0.820788887476403
"377","hippocampus","pipeline 1","pipeline 8",0.865678180671906
"378","hippocampus","pipeline 2","pipeline 8",0.863437589341478
"379","hippocampus","pipeline 3","pipeline 8",0.862049251672217
"380","hippocampus","pipeline 4","pipeline 8",0.858777780926822
